type,url,date
 Journée mondiale des amoureux de l'Alsace,https://www.journee-mondiale.com/532/journee-mondiale-des-amoureux-de-l-alsace.htm,24 juin
 Journée nationale des sauveteurs en mer,https://www.journee-mondiale.com/611/journee-nationale-des-sauveteurs-en-mer.htm,25 juin
 Journée Mondiale contre l'abandon des animaux de compagnie,https://www.journee-mondiale.com/564/journee-mondiale-contre-l-abandon-des-animaux-de-compagnie.htm,25 juin
 Journée mondiale des gens de mer,https://www.journee-mondiale.com/687/journee-mondiale-des-gens-de-mer.htm,25 juin
 Journée mondiale du vitiligo,https://www.journee-mondiale.com/435/journee-mondiale-du-vitiligo.htm,25 juin
 Journée Internationale des Nations Unies pour le soutien aux victimes de la torture,https://www.journee-mondiale.com/139/journee-internationale-des-nations-unies-pour-le-soutien-aux-victimes-de-la-torture.htm,26 juin
 Journée Internationale contre l'abus et le trafic illicite de drogues,https://www.journee-mondiale.com/138/journee-internationale-contre-l-abus-et-le-trafic-illicite-de-drogues.htm,26 juin
 Journée mondiale de la majuscule (Caps Lock Day),https://www.journee-mondiale.com/651/journee-mondiale-de-la-majuscule-caps-lock-day.htm,28 juin
 Journée mondiale du Petit Prince,https://www.journee-mondiale.com/602/journee-mondiale-du-petit-prince.htm,29 juin
 Journée mondiale des astéroïdes,https://www.journee-mondiale.com/441/journee-mondiale-des-asteroides.htm,30 juin
 Journée Mondiale de la Paix,https://www.journee-mondiale.com/5/journee-mondiale-de-la-paix.htm,1 janvier
 Journée du domaine public,https://www.journee-mondiale.com/303/journee-du-domaine-public.htm,1 janvier
 Journée mondiale du braille,https://www.journee-mondiale.com/165/journee-mondiale-du-braille.htm,4 janvier
 Journée Mondiale des orphelins de guerre,https://www.journee-mondiale.com/380/journee-mondiale-des-orphelins-de-guerre.htm,6 janvier
 La journée de la quenouille,https://www.journee-mondiale.com/632/la-journee-de-la-quenouille.htm,7 janvier
 Journée internationale du bain moussant,https://www.journee-mondiale.com/633/journee-internationale-du-bain-moussant.htm,8 janvier
 Journée mondiale de la Corse,https://www.journee-mondiale.com/196/journee-mondiale-de-la-corse.htm,9 janvier
 Journée mondiale de la langue hindi,https://www.journee-mondiale.com/620/journee-mondiale-de-la-langue-hindi.htm,10 janvier
 Journée mondiale Tintin,https://www.journee-mondiale.com/549/journee-mondiale-tintin.htm,10 janvier
" Journée mondiale ""merci""",https://www.journee-mondiale.com/634/journee-mondiale--merci-.htm,11 janvier
 Kiss a Ginger day*,https://www.journee-mondiale.com/367/kiss-a-ginger-day.htm,12 janvier
 Journée mondiale sans pantalon,https://www.journee-mondiale.com/305/journee-mondiale-sans-pantalon.htm,13 janvier
 Journée nationale de l'hypersensibilité,https://www.journee-mondiale.com/547/journee-nationale-de-l-hypersensibilite.htm,13 janvier
 Journée mondiale de la logique,https://www.journee-mondiale.com/670/journee-mondiale-de-la-logique.htm,14 janvier
 Blue monday,https://www.journee-mondiale.com/420/blue-monday.htm,17 janvier
 Journée Internationale de la cuisine italienne,https://www.journee-mondiale.com/368/journee-internationale-de-la-cuisine-italienne.htm,17 janvier
 Journée internationale du Pop Corn,https://www.journee-mondiale.com/470/journee-internationale-du-pop-corn.htm,19 janvier
 Journée internationale des câlins,https://www.journee-mondiale.com/304/journee-internationale-des-calins.htm,21 janvier
 Journée franco-allemande,https://www.journee-mondiale.com/424/journee-franco-allemande.htm,22 janvier
 Journée mondiale des solitudes,https://www.journee-mondiale.com/504/journee-mondiale-des-solitudes.htm,23 janvier
 Journée Internationale du sport féminin,https://www.journee-mondiale.com/369/journee-internationale-du-sport-feminin.htm,24 janvier
 Journée Internationale de l'éducation,https://www.journee-mondiale.com/178/journee-internationale-de-l-education.htm,24 janvier
 Journée mondiale de la culture africaine et afro-descendante,https://www.journee-mondiale.com/671/journee-mondiale-de-la-culture-africaine-et-afro-descendante.htm,24 janvier
 Journée Mondiale de la Douane et sur l'éthique,https://www.journee-mondiale.com/137/journee-mondiale-de-la-douane-et-sur-l-ethique.htm,26 janvier
 Journée de la mémoire de l'Holocauste et de la prévention des crimes contre l'humanité,https://www.journee-mondiale.com/143/journee-de-la-memoire-de-l-holocauste-et-de-la-prevention-des-crimes-contre-l-humanite.htm,27 janvier
 Journée mondiale de la protection des données,https://www.journee-mondiale.com/309/journee-mondiale-de-la-protection-des-donnees.htm,28 janvier
 Journée mondiale du caviardage,https://www.journee-mondiale.com/654/journee-mondiale-du-caviardage.htm,29 janvier
 Journée Mondiale des lépreux,https://www.journee-mondiale.com/127/journee-mondiale-des-lepreux.htm,30 janvier
 Journée Mondiale des Zones Humides,https://www.journee-mondiale.com/90/journee-mondiale-des-zones-humides.htm,2 février
 Journée de la marmotte,https://www.journee-mondiale.com/508/journee-de-la-marmotte.htm,2 février
 Journée mondiale de la vie consacrée,https://www.journee-mondiale.com/543/journee-mondiale-de-la-vie-consacree.htm,2 février
 Journée internationale sans paille,https://www.journee-mondiale.com/517/journee-internationale-sans-paille.htm,3 février
 Journée internationale de la fraternité humaine,https://www.journee-mondiale.com/652/journee-internationale-de-la-fraternite-humaine.htm,4 février
 Journée Mondiale contre le cancer,https://www.journee-mondiale.com/218/journee-mondiale-contre-le-cancer.htm,4 février
 La Journée Mondiale des intelligences animales,https://www.journee-mondiale.com/523/la-journee-mondiale-des-intelligences-animales.htm,5 février
 Journée mondiale du Nutella,https://www.journee-mondiale.com/294/journee-mondiale-du-nutella.htm,5 février
 Journée internationale contre les mutilations génitales féminines,https://www.journee-mondiale.com/175/journee-internationale-contre-les-mutilations-genitales-feminines.htm,6 février
 Journées Mondiales sans téléphone mobile,https://www.journee-mondiale.com/174/journees-mondiales-sans-telephone-mobile.htm,7 février
 Journée mondiale pour un internet plus sur,https://www.journee-mondiale.com/312/journee-mondiale-pour-un-internet-plus-sur.htm,8 février
 Journée mondiale de prière et de réflexion sur la traite des êtres humains,https://www.journee-mondiale.com/497/journee-mondiale-de-priere-et-de-reflexion-sur-la-traite-des-etres-humains.htm,8 février
 Journée internationale des légumineuses,https://www.journee-mondiale.com/628/journee-internationale-des-legumineuses.htm,10 février
 Journée mondiale des malades,https://www.journee-mondiale.com/19/journee-mondiale-des-malades.htm,11 février
 Journée européenne du 112,https://www.journee-mondiale.com/318/journee-europeenne-du-112.htm,11 février
 Journée internationale des femmes et des filles de science,https://www.journee-mondiale.com/557/journee-internationale-des-femmes-et-des-filles-de-science.htm,11 février
 Journée Internationale des enfants soldats,https://www.journee-mondiale.com/25/journee-internationale-des-enfants-soldats.htm,12 février
 Journée internationale Darwin,https://www.journee-mondiale.com/536/journee-internationale-darwin.htm,12 février
